First Name,Middle Name,Last Name,Maiden Name,Full Name at Birth,Alternative Name,Birthday,Birthplace,Height,Weight,Zodiac Sign,Sexuality,Religion,Ethnicity,Nationality,Occupation
,,Colacino,,Xhoana Xheneti,"Carrie Fisher, Carrie Marie Underwood Fisher","22nd June, 1932",,,,,,,,,
,,Diver,,Klariza Clayton,Mariana Diarco,"29th April, 1935",,,,,,,,,
,,Arnolt,,Bertha Eugenie Bohny,"Adriana Barrientos, Leona","25th April, 1895",,,,,,,,,
,,Kohan,,Randy Clifford Ebright Wideman,"Alana Haim, Baby Haim, Merlin","13th October, 2001",,,,,,,,,
,,Trillo,,Stacy Marie Fuson,"Ariadne Artiles, Ariadne Artiles Cardeñosa","1st January, 1988",,,,,,,,,
,,Tanrisevsin,,Uta Levitska,"Miss November 1956, Baby Betty, Betty Blue","14th May, 1990",,,,,,,,,
,,De Carvalho,,Jennifer Leigh Greenberg,"Elizabeth Carling, Liz Carling, Elizabeth, Liz","14th March, 1976",,,,,,,,,
,,Carraro,,Anna Maria Pierangeli,Cpl. Red Buttons,"29th January, 1931",,,,,,,,,
,,Gisselle,,Bryan Sollima,Taylor,"8th February, 1960",,,,,,,,,
,,Brian,,Huma Saleem Qureshi,"""Rod the Mod""","1st February, 1995",,,,,,,,,
,,Dameron,,Peter Kenneth Frampton,"The `It` Girl, The Brooklyn Bonfire, Clara Gordon Bow, Clara Bow","20th January, 1958",,,,,,,,,
,,Limbaugh,,Liz Maria Solari Poggio,"Nanni Moretti, Giovanni Moretti","27th July, 1991",,,,,,,,,
,,Naselli,,Stephanie Michelle Seymour,Lynn Merrick,"29th August, 1912",,,,,,,,,
,,Coltro,,Adrian Lemar Wilson,"ChairHandler, Chandler Carlton Riggs, Chandler Riggs","5th May, 1938",,,,,,,,,
,,Broca,,Whitney Lucy Victoria Mixter,"Sunny, Suny, Sunny Deol, Ajay Singh Deol","15th March, 1962",,,,,,,,,
,,Molzahn,,York Alec Shackleton,Andrea R. Kermott,"27th December, 1978",,,,,,,,,
,,Fernando,,Sigrid Gurie Haukelid,"Lindsey, Lindsey Nicole Pelas, Lindsey Pelas, Lindsay Pelas, Lindsey N. Pelas, Lindsay Nicole Pelas","15th February, 1930",,,,,,,,,
,,Glover,,Johanna Elizabeth Braddy,"Phoebe Bridgers, Phoebe","5th April, 1911",,,,,,,,,
,,Brozek,,Damon Kyle Wayans Jr.,"Yvonne Marie Zima, Yvonne Zima, Vonnie","30th March, 1992",,,,,,,,,
,,Felgueiras,,Carmine Orrico,"Arielle Mandelson, Arielle, Arielle Lorre, Arielle Mandelson Lorre","6th June, 1890",,,,,,,,,
,,Olivennes,,Eric Christian Olsen,The Last of the Red Hot Mamas,"15th April, 1979",,,,,,,,,
,,Dismorr,,Marlo Hampton,"Rosemary Millicent Sutherland-Leveson-Gower, Rosemary Ward, Lady Rosemary Millicent Sutherland-Leveson-Gower","8th January, 1999",,,,,,,,,
,,Ackerman,,Sylvette Héry,"Kyle Andrew Walker, Kyle Walker","16th March, 1992",,,,,,,,,
,,Ismailov,,Juan Martín del Potro Lucas,Manyata Dutt,"19th May, 1921",,,,,,,,,
,,Enthoven,,Gloria Sheridan Edley,"Regina Hall, Regina","20th March, 1987",,,,,,,,,
,,Guttenberg,,Deiondra Sanders,"Chet Walker, Chet Aznivour, Gregory Phillips, John Dough, John Duogh, John Dunn, Chuck Long, John Doe, Chad Sanders, Jan Sanders, Rock Taylor, Chet Sanders, Chet Anuszek, John Doc, Jon Doc, Chester Anuszak","5th March, 1973",,,,,,,,,
,,Tyrrell,,Donald Joseph Cotrona,Christipher Joy,"7th August, 1998",,,,,,,,,
,,Alvarado,,Antoni Stanislaw Boleslawawicz,Monica Lozzi,"4th October, 1900",,,,,,,,,
,,McNaughton,,Jean-Noël Tassez,Felicity Jaine,"17th January, 1973",,,,,,,,,
,,Niblo,,Irina Vitalevna Baeva,"Lissa, Elisabeth Brooks Luyties, Elisabeth Brooks, Elizabeth Brooks","20th October, 1999",,,,,,,,,
,,James,,Gerald Hatten Buss,"Capt Oren William Haglund, Oren W. Haglund","21st January, 1989",,,,,,,,,
,,Prächt,,Holland Virginia Taylor,Timo,"23rd January, 1976",,,,,,,,,
,,Palios,,Kovalcsik Ildikó Magdolna,"Joseph George Mendicino, Joseph Mendicino, Joey Mendicino","7th September, 1937",,,,,,,,,
,,Schoenberger,,Hanna Mangan-Lawrence,Shelli Casterline Gardner,"28th January, 1931",,,,,,,,,
,,Rigau y Rafols,,Sean C. Covel,"Dale Cook, Samuel Cook, Sam Cooke","17th January, 1994",,,,,,,,,
,,Eglevsky,,Courtney,Fernanda Lessa,"23rd June, 1989",,,,,,,,,
,,Stamp,,Charlotte Chantal Caniggia Nannis,Śniady,"10th January, 1952",,,,,,,,,
,,Rehal,,Xenia Evven,Yee,"1st April, 1885",,,,,,,,,
,,Wu,,Mary Tyler Moore,"Emily Jane Seebohm, Emily Seebohm","9th September, 1980",,,,,,,,,
,,Dynevor,,Talulah Jane Riley-Milburn,Curtis,"10th November, 1931",,,,,,,,,
,,Weeks,,Brett Lee Ratner,Max Riemelt,"4th October, 1983",,,,,,,,,
,,Cumberbatch,,Tana Marie Mongeau,"Ishita, Ishita Raj, Ishita Raj Sharma","21st June, 1971",,,,,,,,,
,,Stephens,,Marlon Lamont Wayans,"Terri, Terry","9th July, 1976",,,,,,,,,
,,Cheirel,,Yannick Denis Bisson,"Madhu Mantena, Madhu Mantena Varma, Madhu Varma Mantena","17th September, 1966",,,,,,,,,
,,Bloomingdale,,Cassie Amato,"Marcella Barbara Bushman, Barbara Bushman","5th August, 1988",,,,,,,,,
,,Woll,,Curtis James Jackson III,Fiona,"4th October, 1988",,,,,,,,,
,,Markova,,Carlo Ponti,Chino Garcé,"1st May, 1936",,,,,,,,,
,,D'souza,,Georgina Jane Thompson,"Pearl Spam, Dyson","13th April, 1965",,,,,,,,,
,,Zander,,Shannon Colleen Cummings,"Dave ""Bastard"" Archer","17th September, 1941",,,,,,,,,
,,Jacenko,,Anna Moana Rosa Pozzi,Kellett,"7th May, 1919",,,,,,,,,
,,Vardalos,,Grover Robert Aitken,"Miloš Forman, Jan Tomáš Forman, Jan Tomáš ""Miloš"" Forman","7th November, 1975",,,,,,,,,
,,Tejeiro,,Paul Taylor,"Maddy Smith, Madeleine Smith","11th April, 1932",,,,,,,,,
,,Yalabik,,Nicholas J. Kroll,Elle Bell,"21st August, 1853",,,,,,,,,
,,Fowler,,Nicole Deannae Alexander,"Young Guns, Brandi Passante, Brandi Leigh Passante","12th February, 1977",,,,,,,,,
,,Saint Laurent,,Stacy Mitnick,"Harvey Blair, George Du Bois, Bill Lewis, Blair Morgan, Arnold Black, Blaire Harris, Harre, Blair Rogers, Blair Morse","27th November, 1976",,,,,,,,,
,,Kher,,Sanela Ćatić,T. E. Lawrence,"31st January, 1944",,,,,,,,,
,,Hunziker,,Wendell Dale Goodman,"Constance Worth, Jocelyn Howarth, Enid Joyce Howarth","1st April, 1960",,,,,,,,,
,,Kearse,,Deborah Zerby,"David Alan Ladd, David Ladd","21st August, 1959",,,,,,,,,
,,Mapplethorpe,,Andrem Lemmers III,Miss June 1975,"9th April, 1894",,,,,,,,,
,,Ayne,,John Allan Jones,"Sheba Silas, Priscilia St. James, Kristin Heller, Finlay McGuire, Abigal Mercy, Kathy Carlton, Kathy Kushman, Cindy Johnson, Christine Heller, Kristen Heller, Paula Thomas, Kathy Kirk, Kathy Kane","12th January, 1946",,,,,,,,,
,,Schuck-Guingona,,Priyank Sharma,"Edward Israel Iskowitz, Eddie Cantor","7th December, 1963",,,,,,,,,
,,Doggenweiler,,Pedro Luis Joao Figueira Alvarez,"Mr. Cool, Bill, David Carradine, John Arthur Carradine","5th March, 1970",,,,,,,,,
,,Morrone,,Egbert Jan Weeber,Fran,"17th April, 1951",,,,,,,,,
,,Heinz,,Francois Olivennes,"Claire Keim, Claire Lefebvre","18th February, 1939",,,,,,,,,
,,Melero,,Maria Guadaloupe Velez de Villalobos,Maria Therese Rangel,"28th July, 1974",,,,,,,,,
,,Salmon,,Meabh Flynn,"Sandra Claire Paul, Sandra Claire Howard, Sandra Douglas-Home, Sandra Wynne-Morgan, Sandra Grandfield, Sandra Howard, Lady Sandra Howard, Sandra Howard  Baroness Howard of Lympne, Baroness Howard of Lympne, Sandra Paul, Sandra Clare Paul","14th June, 1963",,,,,,,,,
,,Mazonakis,,Howard Auster,"James Watson, Jamie Watson, James Perkins Watson Jr.","8th September, 1955",,,,,,,,,
,,Kui,,Vincent Herbert,"Cierra Alexa Ramirez, Cierra Ramirez","27th May, 1990",,,,,,,,,
,,Smurfit,,Lisa Selesner,"Janine Martyn, Nicole London, Nicole Valliant, Nichol London, Nichole London","8th July, 1951",,,,,,,,,
,,Safyari,,Joshua Ian Schwartz,"Tom Edney, Tommy Edney","14th November, 1922",,,,,,,,,
,,Rago,,Colin McKay,"Könyves Tamás, Tamás Könyves, VV Tommyboy, VV3 Tommyboy","26th July, 1895",,,,,,,,,
,,Purl,,Joshua Neil Farro,"Ara Marie Cristine Reyes, Cristine Reyes, Cris Murla, Ara Cristine Pascual Klenk, Christine Pascual Klenk Enriquez, Ara Cristine Pascual Klenk Enriquez","15th August, 1990",,,,,,,,,
,,Munoz,,Dorothea Webb Parsons,"Pier Damone, Pier Trovaioli, Anna Maria Pier Angeli, Anna Maria Pierangeli, Pier Angeli","7th June, 1989",,,,,,,,,
,,Heim,,Hans Henrik Ágost Gábor Tasso Freiherr Thyssen-Bornemisza de Kászon et Impérfalva,"Mikki Blue, Mickey G., Michael Austia, Michael Austria, Michael Blue, Michael Omar, Mick Blu, Mickey Blue, Micki Blue, Micky Blue, Mike Blue, Miki Blu, Miki Blue, Miky Blue","6th November, 1952",,,,,,,,,
,,Galecki,,Tamara Lynn Sytch,Zoe McCarthy,"9th April, 1967",,,,,,,,,
,,Spreitler,,Luigina MarÍa Tuccio Fantoni,Tammy Torres,"6th September, 1969",,,,,,,,,
,,Schmid,,Heather Christie,"Kim, Kimbo, Kimberley Nixon","25th April, 1912",,,,,,,,,
,,Coghlan,,Noelia López Vidal,Anna Calvi,"19th October, 1969",,,,,,,,,
,,Rossum,,Dursun Ali Atay,She-She,"29th January, 1974",,,,,,,,,
,,Ikeda,,Jeremy Davies Boring,James Charles Crichton-Stuart,"24th July, 1932",,,,,,,,,
,,Ghosn,,Nanette Joan Workman,"Abs, Abz Love, Abz, Abs Breen","11th May, 1964",,,,,,,,,
,,Agony,,Jessica Elizabeth Craig,"Sadie 7, Beth","15th August, 1989",,,,,,,,,
,,Binn,,Jada Ashanti Murphy,"Bajla Węgier, Bella Darvi, Bayla Wegier","30th December, 1978",,,,,,,,,
,,Linnett,,Matthew David Peacock,"VV Frenki, VV3 Frenki, Jámbrik Ferenc, Ferenc Jámbrik","15th May, 1934",,,,,,,,,
,,Ghatge,,Bruno Freitas Mantuano De Luca,Count Nikolai Von Bismarck,"21st May, 1988",,,,,,,,,
,,Stempfley,,Laura Phillips Anderson,"Bree Joanna Alice Mayer, Brody Dalle-Homme","28th April, 1991",,,,,,,,,
,,Andrioli,,Anita Luebben,"Dame Jane Elizabeth Ailwên Phillips, Jane Elizabeth Ailwên Phillips, Siân Phillips","18th November, 1991",,,,,,,,,
,,Casiraghi,,Joan Ann Hackett,"Britta Ekman, Britt Marie Eklund, Britt Ekland, Britt","16th October, 1994",,,,,,,,,
,,Wiedemann,,Luan Domingos Rafael Santana,Juliet Joslin,"17th August, 1996",,,,,,,,,
,,Lebowitz,,Christopher Ashton Kutcher,Connie Angland,"16th September, 1927",,,,,,,,,
,,Blust,,Van Damage,"Rebecca Day-Lewis, Rebecca Augusta Miller, Rebecca Miller","8th October, 1966",,,,,,,,,
,,De Palma,,Rosalía Vila Tobella,"Gena, Gena Rowlands, Virginia Cathryn Rowlands, Virginia Rowlands","17th October, 1974",,,,,,,,,
,,Gadaffi,,David John D. Semerád,"Kimberly Nash Lane, Kimberly Fielden, Kimberly D Wagner","28th January, 1987",,,,,,,,,
,,Sönmez,,Miriam Spickler,"Gerard Oury, Max-Gérard Houry Tannenbaum, Max-Gérard Houry","16th October, 1948",,,,,,,,,
,,Sperti,,Cicely Jean Evans,"Jewel Guy, Dancing Machine, All Rise","29th March, 1971",,,,,,,,,
,,Araneta,,Elisiane Santa Helena Benites,"Myrna, Marilyn Adele Dunlap, Myrna Dell","16th November, 1927",,,,,,,,,
,,Deuber,,Marshall Ambrose Neilan,Queen Silvia of Sweden,"21st October, 1981",,,,,,,,,
,,Contostavlos,,Justin James Watt,"Zana Zoltán, Zoltan Zana, Ganxsta Zolee","5th September, 1973",,,,,,,,,
,,Cheron,,Zanjoe Acuesta Marudo,"Viv, Abhay","31st October, 1939",,,,,,,,,
,,Magenot,,David Al-Chokhachy,"Wiwid Gunawan, Rujuniarti Sapta Pertiwi Gunawan, Rujuniarti Sapta Pertiwi","25th March, 1945",,,,,,,,,
,,Lamarca,,Ismael Soto,"Archie David Kao, Archie Kao","28th June, 1988",,,,,,,,,
,,El Chiaty,,Ute Gertrude Lemper,"Joe King, Joweph King","24th February, 1985",,,,,,,,,
,,Keighley,,Claire Rhiannon Holt,"Marie Wann, Marie Rogers, Marie Lucy Fury Rogers, Marie Lucie Catherine Rogers, Marie Lucy Fury, Lucy Wann","1st March, 1914",,,,,,,,,
,,Liberto,,Nuria Tomás Mendo,"Sameer Soni, Kunal Chopra, Purab, Sameer, Sam, Samir Sohni","18th March, 1955",,,,,,,,,
,,Stefano,,William Alan Leming,"Allison Scagliotti-Smith, Allison Scagliotti, Allison, La Femme Pendu, Allison Glenn Scagliotti-Smith, Allison Glenn Scagliotti","8th May, 1972",,,,,,,,,
,,Daróczi,,Lucille Louise Ellis,"Martina La Peligrosa, Marta Liliana López Llorente","13th June, 1959",,,,,,,,,
,,Rovzar,,Amine Gülşe,"Michael Grant, Michael Dattorre, Michael Dattore, Michael Cattore, Michael Daytore, Michael Dayton, Micheal Gaunt, Michael Martin, Michael Shea, Michael J. Dattorre","19th December, 1975",,,,,,,,,
,,Simoes,,Chonlathit Yodprathum,"Shelley Fabares, Shelley Farrell, Michele Ann Marie Fabares, Michele Fabares","14th December, 1995",,,,,,,,,
,,Gonzalo,,Jeanne Marie Tripplehorn,"Zq, Zach","10th September, 1972",,,,,,,,,
,,Berger,,Ami Bluebell Dolenz,"Sophie B, Rosee Divine, FrenchRosebud, French Rosebud, French Rose Bud, Sophie Brussaux","24th January, 1958",,,,,,,,,
,,Vargas(I),,Marilyn Hanold,"Dasha, Dasha Zhukova, Дарья Александровна Жукова, Daria Alexandrovna Zhukova, Daria Zhukova, Darya Zhukova","11th June, 1974",,,,,,,,,
,,Mackintosh,,Maksim Issakovich Dunayevsky,"Jana Lund, Jana Cozette Ekelund","31st July, 1979",,,,,,,,,
,,McCartan,,Tawny Elaine Godin,Brie Larson,"5th November, 1895",,,,,,,,,
,,Badalucco,,Edith Barrett Williams,"Kim K, Kimmy, Kimmy Kakes, KiKi, Keeks, Kim Kardashian, Kim Kardashian West, Kimberly, Aunt Kimmy, Kimmie, Kim","27th April, 1992",,,,,,,,,
,,Manderson,,David Lemanowicz,"Yumi Adachi, Hasegawa Yumi, Adachi Yumi, 安達 祐実, Yumi Hasegawa","13th April, 1981",,,,,,,,,
,,Gluckstein,,Emilia Oleksiak,"T, Cha Cha","31st May, 1930",,,,,,,,,
,,Schwarz,,Amanda Marie Latona,"Rachael Weisz, Rachel Hannah Weisz","30th December, 1910",,,,,,,,,
,,Arosio,,Gayle Sherman,"Jerry Kovach, Jerry Kovacs","12th October, 1993",,,,,,,,,
,,Mynx,,Pamela Van Sant,"Jess, Jessi Lynn","26th December, 1971",,,,,,,,,
,,Muratovic,,Cansu Dere,The Prince of Darkness,"19th September, 1950",,,,,,,,,
,,Elmas,,"Louis Cameron Gossett, Jr.","Obie, Estelle Merle Thompson, Queenie","25th August, 1934",,,,,,,,,
,,Newmeyer,,Kio Cyr,Gretchen Dawson,"3rd June, 1938",,,,,,,,,
,,Cantergiani,,Tianna Reilly,"Courtney Michaela Ann Jones, Courtney Michaela Jones, Coco, Courtney Jones, Coco Jones","4th February, 1970",,,,,,,,,
,,Johal,,Annette Kleinbard,"Teri, Terri Starr, Christina Lee Brock, Terry Star, Teri Starr, Teri Star","13th December, 1921",,,,,,,,,
,,Bryson,,Donald Staley Gibbs,"Li-Lo, La Lohan, Linds, L L, Lindsay Dee Lohan, Lindsay Lohan","17th June, 1983",,,,,,,,,
,,Silberstein,,Alexandria Nichole Nugent,"Jeff Allin, George Hawks, Jeffery Hurst, Jeff Hurst, Jeff Eagle, Jeffrey Hyrst, Jeffrey Nurst","14th February, 1993",,,,,,,,,
,,LaMonte,,Daniel Jacob Radcliffe,Charles Joel Nordström Kinnaman,"19th January, 1992",,,,,,,,,
,,Rasten,,Rachael Gordon,Luli,"24th February, 1979",,,,,,,,,
,,Gumusdograyan,,Countess Natalia Pavlovna von Hohenfelsen,"Dorothy Irene Boucher, Chili Bouchier, The Brunette Bombshell, Dorothy Bouchier","20th November, 1970",,,,,,,,,
,,Patrick,,Julian Aster Ancker,"Lydia Kornilov, Lydia Korniloff, Lydia Cornell","30th July, 1978",,,,,,,,,
,,Barcellos,,Kyra Gracie Guimaraes,"Ash, Kutch","17th November, 1941",,,,,,,,,
,,Bosworth,,Tristan Ann Prettyman,Elbowz,"19th June, 1994",,,,,,,,,
,,Leg,,Peter Shaw Pullen,"London King-Schneider, London King Tesa","7th January, 1917",,,,,,,,,
,,Caussin,,Tyler Jamal Brown,"Snake, The Snake, Dave Sabo, David Michael Sabo","17th April, 1941",,,,,,,,,
,,Gasques,,Michelle Danique Orwell,"Chloe Brockett, Chloé B","17th June, 1980",,,,,,,,,
,,Polyzos,,George Denis Patrick Carlin,"Katya Jones, Ekaterina Andreevna Sokolova, Екатерина Андреевна Соколова, Ekaterina Sokolova, Екатерина Соколова, Ekaterina Jones, Kat, Katya","3rd July, 1965",,,,,,,,,
,,Sugiyama,,Garrett John Hedlund,Lisa Seagram,"29th July, 1998",,,,,,,,,
,,Daigle,,Richard Anthony Crenna,Brandon Myers,"29th August, 1964",,,,,,,,,
,,Mosetti,,Yang Mi,"Miss Lucy, Lucy McLaren, Luz Selenia Offerrall","12th May, 1962",,,,,,,,,
,,Farner,,Dominika Kulczyk,"Julia, Julia Barretto, Julia Francesca Barretto Baldivia, Julia Francesca Barretto-Baldivia","29th January, 1970",,,,,,,,,
,,Skladany,,Grant Henry Hill,"Kevin-Prince Boateng, Kevin Prince Boateng","10th May, 1983",,,,,,,,,
,,Kepka,,Catalina Silva Morena,"Bogi Dallos, Dallos-Nyers Boglárka, Boglarka Nyers, Dallos Bogi, Bogi, Nyers Boglárka, Boglarka Dallos-Nyers","24th September, 1954",,,,,,,,,
,,Mahone,,Leonard George Hayton,Caroline Bufalini,"9th January, 1900",,,,,,,,,
,,Boich,,Suzanne Morris,Margaret Chapman,"28th July, 1998",,,,,,,,,
,,Cantilo,,Harmoni Joy Everett,Moppy,"5th August, 1906",,,,,,,,,
,,Trono,,Oliver Kirch,"Gigi, Genevieve Gaunt, Genevieve Wilhelmina Gaunt, Genevieve","1st October, 1930",,,,,,,,,
,,Mintz,,James David Rodríguez Rubio,Dick,"31st January, 1949",,,,,,,,,
,,Vidali,,Blanca Romero Lezama,"Lena Maria Jonna Olin, Lena Olin","16th September, 1974",,,,,,,,,
,,Money,,Orenthal James Simpson,"Julie Pillet, Julie Delpy","13th January, 1985",,,,,,,,,
,,Papp,,Renée Murden,Zach E. Helm,"22nd April, 1978",,,,,,,,,
,,Catarré,,Nancy Kovach,"Static Major, Static, Stephen Ellis Garrett Jr., Stephen Ellis Garrett, Stephen Garrett, Static/Major, Major","14th February, 1976",,,,,,,,,
,,Pine,,Marilyn Jeanne Johnson,"Pragya from Kumkum Bhagya, Sriti Jha, Titu, Jhalli, Fuggi","10th December, 1886",,,,,,,,,
,,Nazarova,,Rafaela Storni Mandelli,"Ursula Andress, Urs","26th November, 1988",,,,,,,,,
,,Saldiran,,Lee Seung Gi,"Jolens, Pinoy Barbie of the 1990s","29th November, 1982",,,,,,,,,
,,Schmidlapp II,,Julian Khol,"Angie Bowie, Angela Bowie","18th April, 1992",,,,,,,,,
,,Tiefenbach,,Edward Walter Furlong,"Katherine Jones, Katherine Jenkins","20th April, 1940",,,,,,,,,
,,Tibbett,,Jennifer Love Hewitt,Анна Романовна Изряднова,"20th August, 1983",,,,,,,,,
,,Dubin,,Joshua Hall,"Cora Leigh, Cora","13th November, 1985",,,,,,,,,
,,Cserpes,,Doris Roberta Simpson,James Goldstein,"22nd March, 1993",,,,,,,,,
,,Garfinkel,,Caprice Valerie Bourret,Dev Patel,"20th December, 1957",,,,,,,,,
,,Erich,,Mark Andrew Consuelos,Pete Stefan,"26th December, 1986",,,,,,,,,
,,Ricks,,Brendan Jacob Joel Fehr,"Catalina, Catilina, Crystal Gold","4th March, 1948",,,,,,,,,
,,Hunley,,Vashtie Kola,"Jma, Jessica Marie Warren, Albz, Jess, Ja, Sky Angel","31st May, 1944",,,,,,,,,
,,Penate,,Alyson Renae Michalka,"Adrienne Maloof-Nassif, Adrienne Maloof","11th November, 1956",,,,,,,,,
,,Fertis,,Annette Susanne Strøyberg,"Raymond Danton, Ray Danton, Raymond Kaplan","10th May, 1978",,,,,,,,,
,,Rohira,,Shane Steven Harper,Barbara Meier,"30th July, 1927",,,,,,,,,
,,Bodi,,Galina Arturovna Benislavskaya,Randy Bick,"6th September, 1899",,,,,,,,,
,,Vula,,Michelle Nicole Johnston,"Bryiana Noelle Flores, Bryiana Noelle, Bryiana Flores, Bryiana Dyrdek","30th November, 1965",,,,,,,,,
,,Alston,,Soledad Silveyra,Keith,"17th February, 1992",,,,,,,,,
,,Carriker,,Caroline Campbell,"Jazz, Lil Tae Tae, Cookie, Lashontae Heckard, La’Shontae Heckard","22nd July, 1982",,,,,,,,,
,,Meighan,,Jason David Frank,"Jenny Oulton, Jennifer Phyllis Oulton","1st October, 1906",,,,,,,,,
,,Sabatini,,Mariya Antoninovna Leonidova,"Elizabeth McClarnon, Liz McLarnon, Lil, Liz","17th October, 1977",,,,,,,,,
,,Weingarten,,Donald Garth Fisher,"Future, Future Hendrix, Meathead","3rd November, 1895",,,,,,,,,
,,Hauer,,La Toya Yvonne Jackson,"MacKenzie Tuttle, MacKenzie, Mackenzie Bezos, MacKenzie Scott","30th October, 1932",,,,,,,,,
,,Dougan,,Rocco DiSpirito,"Olivia Stone, Olivia Haigh Stone","13th May, 1946",,,,,,,,,
,,Osowski,,Helena Ranaldi Nogueira,"Gainsbarre, Julien Grix, Julien Gris, L'homme à tête de cho, Lucien Ginsburg, Serge Gainsbourg","5th June, 1954",,,,,,,,,
,,Weschler,,Jacob Nathaniel Elordi,"Dick Moore, John Richard Moore Jr., Dickie Moore, Richard Moore, John Richard Moore","19th September, 1910",,,,,,,,,
,,Horta,,Lucy Olivia Mecklenburgh,"Laura Misch Owens, Miss February 1975, Laura Misch","7th July, 1988",,,,,,,,,
,,Bottoms,,"Bertrand Arthur William Russell,",C. Hawthorne O'Flaherty,"6th April, 1898",,,,,,,,,
,,Boulting,,Cristina Buccino,Sofi,"25th July, 1981",,,,,,,,,
,,Pulgar,,Kwame Ferreira,"Francessca Le, Franchesca Leigh, Francesca Lei, Francesca, Francesca Le, Francesca Lee, Francesca Leigh, Franchesca Le, Erika Sherwood, Franceska Le, Erika Estrada, Erica Estrada, Francesca Le'","3rd January, 1930",,,,,,,,,
,,Baronet,,Giulio Maria Berruti,Zoo,"15th September, 1987",,,,,,,,,
,,Melanitto,,Barton Robert Johnson,"King Wallis Vidor, King Vidor, King W. Vidor","19th March, 1996",,,,,,,,,
,,Sharp,,Demetra Lisa Ann Hampton,"Alicia Hannah Kim, Alicia Hannah, Alicia Kim","21st November, 1977",,,,,,,,,
,,Seguin,,Carol Ann Rodríguez Taylor,Simone Thomalla,"28th March, 1977",,,,,,,,,
,,Sperberg,,Ursula Ledersteger,"Will, Scrapp","30th January, 1947",,,,,,,,,
,,Mai,,Scott Jonathan Gallegos,Captain Manyhands,"24th October, 1996",,,,,,,,,
,,DeLeon,,Jennifer Marsala,"Angelica Jo Bridges, Angelica Bridges, Angie Bridges, Anjelica","10th March, 1979",,,,,,,,,
,,Ossandon,,Summer Patrice Scalisi Walker,"Ali Lohan, Ali","3rd March, 1981",,,,,,,,,
,,Vinuela,,Naomi Cooke,"Cicely L. Tyson, Cicely Tyson, Cecily Louise Tyson, Cicely Louise Tyson, Cecily Tyson, Cecily L. Tyson","3rd April, 1950",,,,,,,,,
,,Czar,,Takala,Theo,"7th January, 1972",,,,,,,,,
,,Sensoy,,Jack Peter Benedict Whitehall,"Hayles, Haylie Katherine Duff, Haylie Duff","10th January, 1988",,,,,,,,,
,,Lauren,,Nanette Mirkovich,William McCord Jr.,"22nd October, 1991",,,,,,,,,
,,Przetakiewicz,,Virginia Grey,Nathalie Bonnemaison,"6th February, 2002",,,,,,,,,
,,Mitri,,Sarah Christine Roemer,KD,"28th July, 1992",,,,,,,,,
,,Zax,,Adelaide Alexandra King,"Debóra, Debi","31st January, 1978",,,,,,,,,
,,Maxwell-Brown,,Kathleen Lorraine Gourley,Rebecca Linger Nolte,"3rd December, 1960",,,,,,,,,
,,Placido,,Lindsey Adams Buckingham,"Philip Whitman Elvrum, Phil Elvrum, Phil Elverum","15th October, 1982",,,,,,,,,
,,Legazpi,,Nancy Deere Wiman,Benoît Paire,"15th October, 1949",,,,,,,,,
,,Miscusi,,Summer Wheaton,"Milton Krims, Milton Robert Krims","15th August, 1974",,,,,,,,,
,,Bombardini,,Mélanie Laurent,"Taradise, Bunny Lebowski, The Bunny, The Blonde Bombshell, Hott Mess, California Raisin, Franken-Nipple, The Boozy Blonde, The Drunken Mistress, Tara Donna Reid, Tara D. Reid","19th April, 1993",,,,,,,,,
,,Lelani,,Mika Aereen Marcaliñas Reyes,Desiree Ortiz,"27th March, 1995",,,,,,,,,
,,Ipar,,Julia B. Cameron,"Joanne Whalley-Kilmer, Joanne Whalley","16th October, 1977",,,,,,,,,
,,Camarena,,Terence Trent Howard,"Nisan Eventoff, Nissan Eventoff","2nd May, 1981",,,,,,,,,
,,De Leon,,Paget Valerie Brewster,The Black Dahlia,"20th January, 1906",,,,,,,,,
,,Agarwal,,Eleanor Mery,"Norma Deloris Egstrom, Peggy Lee","11th April, 1901",,,,,,,,,
,,Scura,,Lupita Amondi Nyong'o,"Ana Beatriz Barros El Chiaty, Ana Beatriz Barros, Ana Beatriz","16th May, 1984",,,,,,,,,
,,Matienzo,,Gary Anthony James Webb,"Amelia Fiona J. Driver, Minnie Driver, Amelia Fiona Jessica Driver, Amelia Fiona Driver","14th August, 1999",,,,,,,,,
,,Waite,,Edward Joel Stone Pawley,Kevin Shulman,"27th January, 1981",,,,,,,,,
,,Fears,,Mary Ferrah Leni Fawcett,"Alexandria Caroline Susan Hilfiger, Alexandria Hilfiger, Ally Hilfiger","22nd December, 1980",,,,,,,,,
,,Lefevre,,Adam Granofsky,"Mr. Acapulco, Swing King, Ernest Henry Stauffer, Teddy-Stauffer-Septett","20th March, 1958",,,,,,,,,
,,Lequio,,Terrell Lamar Davis,Claudia Pandolfi,"31st January, 1908",,,,,,,,,
,,Soral,,Kim Victoria Cattrall,"Candice Ann Falzon, Candice Ann Warner, Candice Falzon, Candice Warner","5th June, 1977",,,,,,,,,
,,Kisling,,Sean Stokie,Jacques Martin,"10th May, 1980",,,,,,,,,
,,Kleerup,,Mariana Rios Botelho,Gertrude Nissen,"27th January, 1973",,,,,,,,,
